r,g,b
0.2177489943034697,0.5234973598912481,0.477590811310202
0.21095704668047643,0.5221964709735889,0.48221480572760234
0.20573411934748834,0.5219424339979286,0.48587010437079237
0.20051119201450027,0.5216883970222683,0.48952540301398245
0.19528826468151217,0.5214343600466079,0.4931807016571725
0.19006533734852404,0.5211803230709476,0.49683600030036257
0.18484241001553597,0.5209262860952873,0.5004912989435526
0.17961948268254788,0.5206722491196271,0.5041465975867426
0.16278133211496632,0.5169167154893837,0.5170408197099948
0.1411736454365613,0.5117233692232004,0.533728802682548
0.11956595875815627,0.506530022957017,0.5504167856551011
0.09795827207975139,0.5013366766908337,0.5671047686276541
0.07635058540134636,0.4961433304246504,0.5837927516002073
0.05474289872294147,0.49094998415846713,0.6004807345727602
0.03507521076437078,0.48582945587260484,0.6157628498705334
0.03369893930709476,0.4813954971154842,0.6177896413775246
0.03232266784981874,0.4769615383583635,0.6198164328845158
0.030946396392542708,0.4725275796012428,0.621843224391507
0.029570124935266694,0.4680936208441222,0.6238700158984982
0.028193853477990673,0.46365966208700155,0.6258968074054894
0.02681758202071466,0.4592257033298809,0.6279235989124806
0.024199650543759683,0.45396616292076636,0.6312860496116003
0.020251998052822358,0.4478224889694458,0.6360788871051269
0.016304345561885033,0.44167881501812534,0.6408717245986536
0.012356693070947663,0.4355351410668047,0.6456645620921803
0.008409040580010338,0.4293914671154842,0.6504573995857069
0.004461388089073013,0.42324779316416367,0.6552502370792336
0.000513735598135643,0.41710411921284307,0.6600430745727602
0.0036167052107716454,0.4125917145520456,0.6659760839979285
0.007774492303469715,0.4083233580528224,0.6720796703262558
0.011932279396167832,0.40405500155359914,0.6781832566545831
0.016090066488865903,0.39978664505437594,0.6842868429829104
0.02024785358156397,0.39551828855515275,0.6903904293112377
0.024405640674262038,0.39124993205592956,0.6964940156395649
0.028053004760745744,0.3855016604867943,0.6972727301398238
0.030223544949249104,0.37547150131538054,0.682644815484205
0.03239408513775246,0.36544134214396684,0.6680169008285862
0.03456462532625584,0.355411182972553,0.6533889861729673
0.0367351655147592,0.3453810238011392,0.6387610715173484
0.03890570570326256,0.3353508646297255,0.6241331568617297
0.04107624589176594,0.32532070545831165,0.6095052422061107
0.041263631424650435,0.3235086776178146,0.622820270895909
0.04035395267995857,0.3262428500880373,0.6515930980321077
0.03944427393526669,0.32897702255826,0.6803659251683069
