time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance,position_covariance_type
2022/03/21/14:40:54.715732,31739,1647841254,599969758,gps,2,1,37.3655276,126.7246915,33.285,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:54.817504,31740,1647841254,699969734,gps,2,1,37.3655236,126.7246878,33.284,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:54.916401,31741,1647841254,799969710,gps,2,1,37.3655196,126.724684,33.285,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:55.014839,31742,1647841254,899969686,gps,2,1,37.3655156,126.7246802,33.286,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:55.116554,31743,1647841254,999969663,gps,2,1,37.3655115,126.7246763,33.287,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:55.216446,31744,1647841255,99969638,gps,2,1,37.3655074,126.7246724,33.288,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:55.315803,31745,1647841255,199969614,gps,2,1,37.3655033,126.7246685,33.29,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:55.418781,31746,1647841255,299969591,gps,2,1,37.3654992,126.7246646,33.291,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:55.515806,31747,1647841255,399969567,gps,2,1,37.365495,126.7246606,33.289,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:55.620792,31748,1647841255,499969543,gps,2,1,37.3654907,126.7246566,33.29,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:55.716314,31749,1647841255,599969519,gps,2,1,37.3654864,126.7246526,33.296,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:55.816263,31750,1647841255,699969495,gps,2,1,37.3654821,126.7246486,33.297,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:55.913831,31751,1647841255,799969471,gps,2,1,37.3654778,126.7246445,33.3,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:56.010231,31752,1647841255,899969447,gps,2,1,37.3654734,126.7246404,33.3,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:56.119582,31753,1647841255,999969425,gps,2,1,37.3654691,126.7246362,33.301,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:56.224499,31754,1647841256,99969400,gps,2,1,37.3654646,126.7246321,33.302,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:56.318517,31755,1647841256,199969376,gps,2,1,37.3654602,126.7246279,33.301,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:56.417983,31756,1647841256,299969352,gps,2,1,37.3654557,126.7246237,33.299,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:56.517924,31757,1647841256,399969328,gps,2,1,37.3654512,126.7246194,33.299,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:56.622716,31758,1647841256,499969304,gps,2,1,37.3654467,126.7246151,33.3,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:56.717326,31759,1647841256,599969280,gps,2,1,37.3654421,126.7246108,33.299,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:56.816204,31760,1647841256,699969256,gps,2,1,37.3654375,126.7246065,33.299,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:56.912586,31761,1647841256,799969232,gps,2,1,37.3654329,126.7246021,33.298,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:57.016142,31762,1647841256,899969209,gps,2,1,37.3654283,126.7245977,33.298,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:57.120570,31763,1647841256,999969186,gps,2,1,37.3654236,126.7245933,33.297,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:57.217302,31764,1647841257,99969161,gps,2,1,37.3654189,126.7245889,33.299,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:57.320353,31765,1647841257,199969137,gps,2,1,37.3654141,126.7245844,33.299,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:57.415753,31766,1647841257,299969113,gps,2,1,37.3654093,126.7245799,33.299,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:57.516840,31767,1647841257,399969089,gps,2,1,37.3654046,126.7245754,33.299,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:57.623738,31768,1647841257,499969065,gps,2,1,37.3653998,126.7245709,33.299,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:57.716591,31769,1647841257,599969041,gps,2,1,37.3653949,126.7245663,33.303,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:57.812647,31770,1647841257,699969017,gps,2,1,37.36539,126.7245617,33.306,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:57.917498,31771,1647841257,799968993,gps,2,1,37.3653851,126.7245571,33.309,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:58.016335,31772,1647841257,899968970,gps,2,1,37.3653801,126.7245525,33.315,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:58.123720,31773,1647841257,999968947,gps,2,1,37.3653752,126.7245478,33.319,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:58.220161,31774,1647841258,99968922,gps,2,1,37.3653702,126.7245431,33.321,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:58.342769,31775,1647841258,199968898,gps,2,1,37.3653652,126.7245384,33.321,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:58.516832,31776,1647841258,399968850,gps,2,1,37.3653551,126.7245289,33.328,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:58.622683,31777,1647841258,499968826,gps,2,1,37.36535,126.7245241,33.331,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:58.713799,31778,1647841258,599968802,gps,2,1,37.3653448,126.7245193,33.331,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
